IDs	original.IDs	studies	DB.IDs	PubChem.CIDs	preferred.drug.names	collections	Santi.MoAs	main.MoAs	collapsed.MoAs
sig-20918	1593	GDSC	DB11841	4261	ENTINOSTAT	SSc	Chromatin agents	Chromatin agent	Chromatin agent
sig-21333	K77908580	CTRP	DB11841	4261	ENTINOSTAT	SSc	HDAC inhibitor	Chromatin agent	Chromatin agent
sig-21220	K55591206	CTRP	NA	65064	EPIGALLOCATECHIN-3-MONOGALLATE	SSc	Other	ROS/RNS modulator	ROS/RNS modulator
sig-20911	1511	GDSC	DB00445	41867	EPIRUBICIN	SSc	DNA related agent	DNA replication inhibitor	DNA related agent
sig-21041	K04548931	PRISM	DB00445	41867	EPIRUBICIN	SSc	topoisomerase inhibitor	DNA replication inhibitor	DNA related agent
sig-21315	K71823332	PRISM	NA	448799	EPOTHILONE-A	SSc	Microtubule agents	Microtubule agent	Microtubule agent
sig-21290	K68164687	PRISM	DB03010	448013	EPOTHILONE-B	SSc	Microtubule agents	Microtubule agent	Microtubule agent
sig-21206	K52762805	PRISM	NA	447865	EPOTHILONE-D	SSc	Microtubule agents	Microtubule agent	Microtubule agent
sig-20976	A25004090	CTRP	NA	11214940	ERASTIN	SSc	Other	Ferroptosis inducer	Ferroptosis inducer
sig-20976	A25004090	CTRP	NA	11214940	ERASTIN	SSc	Other	Ion channel blocker	Ferroptosis inducer
sig-20925	1713	GDSC	NA	NA	ERK_2440	SSc	ERK MAPK signaling	MAPK inhibitor	MAPK inhibitor
sig-20926	1714	GDSC	NA	NA	ERK_6604	SSc	ERK MAPK signaling	MAPK inhibitor	MAPK inhibitor
sig-21304	K70401845	CTRP	DB00530	176870	ERLOTINIB	SSc	EGFR inhibitor	ErbB inhibitor	EGFR inhibitor
sig-21305	K70401845	PRISM	DB00530	176870	ERLOTINIB	SSc	EGFR inhibitor	ErbB inhibitor	EGFR inhibitor
sig-21430	M27152968	CTRP	NA	56832507	ERLOTINIB:PLX-4032 (2:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21119	K24715592	PRISM	NA	2017	ETHACRIDINE-LACTATE-MONOHYDRATE	SSc	NA	DNA replication inhibitor	DNA related agent
sig-21164	K37798499	CTRP	DB00773	36462	ETOPOSIDE	SSc	Other	DNA replication inhibitor	DNA related agent
sig-21116	K24556407	CTRP	NA	72199292	ETP-46464	SSc	Other	DNA damage response inhibitor	DNA related agent
sig-21076	K13514097	PRISM	DB01590	6442177	EVEROLIMUS	SSc	mTOR/PI3K inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21291	K68395654	PRISM	NA	509554	EVP4593	SSc	Other	NFkB signaling inhibitor	NFkB signaling inhibitor
sig-21390	K92150287	PRISM	NA	151115	EXATECAN-MESYLATE	SSc	topoisomerase inhibitor	DNA replication inhibitor	DNA related agent
sig-21094	K18157228	PRISM	DB12957	515328	FDCYD	SSc	DNA related agent	DNA methyltransferase inhibitor	DNA related agent
sig-21201	K51318897	PRISM	DB11410	3334	FENBENDAZOLE	SSc	Microtubule agents	Microtubule agent	Microtubule agent
sig-21232	K58550667	PRISM	NA	6914657	FK-866	SSc	NA	NAMPT inhibitor	NAMPT inhibitor
sig-21190	K47832606	PRISM	DB00322	5790	FLOXURIDINE	SSc	DNA related agent	DNA replication inhibitor	DNA related agent
sig-20939	1813	GDSC	DB01073	657237	FLUDARABINE	SSc	Other	DNA replication inhibitor	DNA related agent
sig-21249	K61496577	PRISM	DB00663	16490	FLUMETHASONE	SSc	NA	Glucocorticoid receptor agonist	Glucocorticoid receptor agonist
sig-21120	K24844714	CTRP	DB00544	3385	FLUOROURACIL	SSc	Other	DNA replication inhibitor	DNA related agent
sig-21252	K62310379	PRISM	DB00588	444036	FLUTICASONE-PROPIONATE	SSc	glucocorticoid receptor agonist	Glucocorticoid receptor agonist	Glucocorticoid receptor agonist
sig-21001	A52530402	CTRP	DB01095	446155	FLUVASTATIN	SSc	Other	HMGCR inhibitor	Statins
sig-21039	K03449891	PRISM	DB12307	42642645	FORETINIB	SSc	NA	Multi-kinase inhibitor	VEGFR inhibitor;MET inhibitor
sig-20957	2040	GDSC	DB12307	42642645	FORETINIB	SSc	Other	Multi-kinase inhibitor	VEGFR inhibitor;MET inhibitor
sig-21038	K03449891	CTRP	DB12307	42642645	FORETINIB	SSc	VEGFR inhibitor	Multi-kinase inhibitor	VEGFR inhibitor;MET inhibitor
sig-21019	A91658086	CTRP	NA	656346	FQI-1	SSc	Other	LSF1-mediated transcription inhibitor	Transcription inhibitor
sig-21153	K35498412	CTRP	NA	56963564	FQI-2	SSc	Other	LSF1-mediated transcription inhibitor	Transcription inhibitor
sig-21168	K38852836	PRISM	DB12047	135564985	GANETESPIB	SSc	NA	HSP inhibitor	HSP inhibitor
sig-21296	K68938568	PRISM	DB12380	46940575	GDC-0152	SSc	Other	Pro-apoptotic agent	Pro-apoptotic agent
sig-21286	K67578145	CTRP	NA	11717001	GDC-0879	SSc	BRAF inhibitor	RAF inhibitor	BRAF inhibitor
sig-21207	K52911425	CTRP	NA	17755052	GDC-0941	SSc	mTOR/PI3K inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21208	K52911425	PRISM	NA	17755052	GDC-0941	SSc	mTOR/PI3K inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21111	K23228615	PRISM	NA	25254071	GDC-0980	SSc	NA	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21266	K64052750	CTRP	DB00317	123631	GEFITINIB	SSc	AKT inhibitor	ErbB inhibitor	EGFR inhibitor
sig-21267	K64052750	PRISM	DB00317	123631	GEFITINIB	SSc	AKT inhibitor	ErbB inhibitor	EGFR inhibitor
sig-20902	1190	GDSC	DB00441	60750	GEMCITABINE	SSc	DNA related agent	DNA replication inhibitor	DNA related agent
sig-21080	K15108141	CTRP	DB00441	60750	GEMCITABINE	SSc	DNA related agent	DNA replication inhibitor	DNA related agent
sig-21081	K15108141	PRISM	DB00441	60750	GEMCITABINE	SSc	DNA related agent	DNA replication inhibitor	DNA related agent
sig-21414	K99475619	PRISM	NA	10294813	GENZ-644282	SSc	topoisomerase inhibitor	DNA replication inhibitor	DNA related agent
sig-21189	K47335880	CTRP	NA	148198	GMX-1778	SSc	inhibitor of nicotinamide phosphoribosyltransferase	NAMPT inhibitor	NAMPT inhibitor
sig-20953	1926	GDSC	NA	70676303	GNE-317	SSc	mTOR/PI3K inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21042	K04923131	CTRP	NA	NA	GSK-3 INHIBITOR IX	SSc	NA	GSK3 inhibitor	Kinase inhibitor
sig-21408	K98203492	CTRP	NA	71729975	GSK-J4	SSc	Other	Chromatin agent	Chromatin agent
sig-21045	K06750613	CTRP	DB11962	23582824	GSK1059615	SSc	mTOR/PI3K inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21159	K36740062	PRISM	NA	46885626	GSK1070916	SSc	Aurora kinases inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21044	K06749501	PRISM	NA	25182616	GSK1838705A	SSc	NA	IGF1R signaling inhibitor	IGF1R signaling inhibitor
sig-21122	K25412176	PRISM	NA	46843057	GSK2110183	SSc	NA	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21051	K07972848	PRISM	NA	25167777	GSK2126458	SSc	mTOR/PI3K inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21393	K92428232	CTRP	NA	15983966	GSK461364	SSc	PLK inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21394	K92428232	PRISM	NA	15983966	GSK461364	SSc	PLK inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21052	K08109215	CTRP	NA	46943432	GSK525762A	SSc	Other	BET inhibitor	Transcription inhibitor
sig-21385	K90382497	CTRP	NA	9826308	GW-843682X	SSc	PLK inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21152	K35329391	PRISM	NA	51038269	GZD824	SSc	Other	Multi-kinase inhibitor	BCR-ABL inhibitor
sig-21200	K50501969	CTRP	NA	16065773	HBX-41108	SSc	Other	USP inhibitor	Other
sig-21229	K58122457	PRISM	NA	NA	HESPERADIN	SSc	Aurora kinases inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21417	K99946902	PRISM	DB11254	3610	HEXYLRESORCINOL	SSc	Other	Anesthetic	Other
sig-20981	A30032852	CTRP	DB01892	441298	HYPERFORIN	SSc	Other	Ion channel activator	Other
sig-21000	A51571244	PRISM	NA	10407195	HYPOESTOXIDE	SSc	Other	NFkB signaling inhibitor	NFkB signaling inhibitor
sig-21053	K08109215	PRISM	NA	46943432	I-BET-762	SSc	NA	Chromatin agent	Chromatin agent
sig-21158	K36363294	CTRP	NA	52912189	I-BET151	SSc	Other	BET inhibitor	Transcription inhibitor
sig-21303	K70301465	CTRP	DB09053	24821094	IBRUTINIB	SSc	Other	BTK inhibitor	Kinase inhibitor
sig-21298	K69650333	PRISM	DB01177	42890	IDARUBICIN	SSc	topoisomerase inhibitor	Topoisomerase inhibitor	DNA related agent
sig-21256	K62627508	PRISM	DB12325	53358942	IDASANUTLIN	SSc	NA	p53 activator/MDM2 inhibitor	p53 activator/MDM2 inhibitor
sig-20932	1738	GDSC	NA	NA	IGF1R_3801	SSc	Other	IGF1R signaling inhibitor	IGF1R signaling inhibitor
sig-21395	K92723993	CTRP	DB00619	5291	IMATINIB	SSc	Other	Multi-kinase inhibitor	BCR-ABL inhibitor
sig-20964	A02481876	CTRP	NA	2949965	IMPORTAZOLE	SSc	Other	Nucleocytoplasmic transport inhibitor	Other
sig-21091	K17610631	CTRP	DB06370	216468	INDISULAM	SSc	Other	Cell cycle arrest	Cell cycle arrest
sig-21400	K93779381	PRISM	DB05013	6918670	INGENOL-MEBUTATE	SSc	Other	PKC activator	Kinase inhibitor
sig-20898	1088	GDSC	DB00762	60838	IRINOTECAN	SSc	DNA related agent	DNA replication inhibitor	DNA related agent
sig-21010	A68631409	CTRP	NA	151289	ISOEVODIAMINE	SSc	Other	NFkB signaling inhibitor	NFkB signaling inhibitor
sig-21300	K69840642	CTRP	NA	24951314	ISOX	SSc	HDAC inhibitor	Chromatin agent	Chromatin agent
sig-21274	K64881305	PRISM	DB06188	6851740	ISPINESIB	SSc	NA	Cell cycle arrest	Cell cycle arrest
sig-21339	K78659596	PRISM	DB09570	25183872	IXAZOMIB	SSc	proteasome inhibitor	Ubiquitin-proteasome system inhibitor	Ubiquitin-proteasome system inhibitor
sig-20933	1739	GDSC	NA	NA	JAK_8517	SSc	Other	JAK-STAT signaling inhibitor	JAK-STAT signaling inhibitor
sig-21169	K38860038	PRISM	NA	1069686	JK-184	SSc	Other	Hedgehog pathway inhibitor	Other
sig-21360	K83837640	PRISM	NA	11538455	JNJ-26481585	SSc	HDAC inhibitor	Chromatin agent	Chromatin agent
sig-21213	K54606188	CTRP	NA	46907787	JQ-1	SSc	Other	Chromatin agent	Chromatin agent
sig-21425	M11510342	CTRP	NA	NA	JQ-1:CARBOPLATIN (1:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21459	M94343540	CTRP	NA	NA	JQ-1:MK-0752 (1:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21456	M87479906	CTRP	NA	NA	JQ-1:NAVITOCLAX (2:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21443	M56714493	CTRP	NA	NA	JQ-1:UNC0638 (2:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21444	M56962220	CTRP	NA	NA	JQ-1:VORINOSTAT (2:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-20963	2172	GDSC	NA	46907787	JQ1	SSc	Chromatin agents	Chromatin agent	Chromatin agent
sig-21214	K54606188	PRISM	NA	46907787	JQ1-(+)	SSc	Other	Chromatin agent	Chromatin agent
sig-21002	A55312468	PRISM	NA	5702136	K-STROPHANTHIDIN	SSc	ATPase inhibitor	ATPase inhibitor	ATP related agent
sig-20991	A38350138	PRISM	DB01026	456201	KETOCONAZOLE	SSc	NA	Antifungal agent	Other
sig-21188	K47150025	PRISM	NA	11317348	KI-8751	SSc	NA	Multi-kinase inhibitor	VEGFR inhibitor
sig-21187	K47150025	CTRP	NA	11317348	KI8751	SSc	VEGFR inhibitor	Multi-kinase inhibitor	VEGFR inhibitor
sig-21312	K71467466	PRISM	NA	53495165	KPT-185	SSc	Other	Nucleocytoplasmic transport inhibitor	Other
sig-21311	K71467466	CTRP	NA	53495165	KPT185	SSc	Other	Nucleocytoplasmic transport inhibitor	Other
sig-21058	K09499853	CTRP	NA	11964036	KU 0060648	SSc	NA	DNA damage response inhibitor	DNA related agent
sig-21285	K67566344	CTRP	NA	16736978	KU-0063794	SSc	mTOR/PI3K inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21108	K21718444	CTRP	NA	11427553	KW-2449	SSc	Aurora kinases inhibitor	Multi-kinase inhibitor	Cell cycle arrest
sig-21140	K29968218	CTRP	NA	23635314	KX2-391	SSc	SRC inhibitor	Microtubule agent	SRC inhibitor
sig-21140	K29968218	CTRP	NA	23635314	KX2-391	SSc	SRC inhibitor	SRC inhibitor	SRC inhibitor
sig-21099	K19687926	CTRP	DB01259	208908	LAPATINIB	SSc	EGFR inhibitor	ErbB inhibitor	EGFR inhibitor
sig-21100	K19687926	PRISM	DB01259	208908	LAPATINIB	SSc	NA	ErbB inhibitor	EGFR inhibitor
sig-21463	1558	GDSC	DB01259	208908	LAPATINIB	SSc	NA	ErbB inhibitor	EGFR inhibitor
sig-21029	K02130563	CTRP	NA	6918837	LBH-589	SSc	HDAC inhibitor	Chromatin agent	Chromatin agent
sig-21055	K08248804	PRISM	DB12085	24737642	LCL-161	SSc	Other	Pro-apoptotic agent	Pro-apoptotic agent
sig-21171	K39974922	CTRP	DB09078	9823820	LENVATINIB	SSc	VEGFR inhibitor	Multi-kinase inhibitor	VEGFR inhibitor
sig-21130	K27624156	CTRP	NA	6917907	LEPTOMYCIN B	SSc	NA	Nucleocytoplasmic transport inhibitor	Other
sig-20977	A27376179	PRISM	DB06469	9932888	LESTAURTINIB	SSc	Other	FLT3 inhibitor	VEGFR inhibitor
sig-21151	K35189033	PRISM	DB00367	13109	LEVONORGESTREL	SSc	Other	Hormone therapy	Other
sig-21003	A56085258	PRISM	NA	70311789	LGX818	SSc	Other	RAF inhibitor	BRAF inhibitor
sig-21416	K99749624	CTRP	DB06080	11485656	LINIFANIB	SSc	VEGFR inhibitor	Multi-kinase inhibitor	VEGFR inhibitor
sig-21012	A70155556	CTRP	DB00227	53232	LOVASTATIN	SSc	Other	HMGCR inhibitor	Statins
sig-21024	K01436366	CTRP	NA	46843906	LRRK2-IN-1	SSc	Other	LRRK2 inhibitor	Kinase inhibitor
sig-20915	1559	GDSC	NA	10096043	LUMINESPIB	SSc	Other	HSP inhibitor	HSP inhibitor
sig-21165	K37865504	CTRP	NA	11507802	LY-2183240	SSc	Other	Lipid metabolism inhibitor	Metabolism disruptor
sig-21334	K78055238	PRISM	DB11913	10029385	LY2090314	SSc	Other	GSK3 inhibitor	Kinase inhibitor
sig-21123	K25630527	PRISM	NA	46213929	LY2784544	SSc	Other	JAK-STAT signaling inhibitor	JAK-STAT signaling inhibitor
sig-21096	K18961567	PRISM	NA	44603533	LY2801653	SSc	NA	MET inhibitor	MET inhibitor
sig-21090	K17203476	PRISM	DB13022	46944259	LY2874455	SSc	Other	FGFR inhibitor	Kinase inhibitor
sig-21183	K45528773	PRISM	NA	3994	M-344	SSc	HDAC inhibitor	Chromatin agent	Chromatin agent
sig-21337	K78599730	CTRP	NA	44483259	MANUMYCIN A	SSc	NA	FTase inhibitor	Other
sig-21228	K57261999	CTRP	NA	24797083	MARINOPYRROLE A	SSc	NA	Pro-apoptotic agent	Pro-apoptotic agent
sig-21086	K15898725	PRISM	NA	5282049	MAYTANSINOL-ISOBUTYRATE	SSc	Other	Microtubule agent	Microtubule agent
sig-21103	K20655524	PRISM	NA	4045	MEFEXAMIDE	SSc	Other	Psychoactive drug	Other
sig-21355	K82244583	PRISM	NA	10288191	MEK162	SSc	MEK inhibitor	MAPK inhibitor	MAPK inhibitor
sig-21040	K04466929	CTRP	NA	6918878	MERCK60	SSc	HDAC inhibitor	Chromatin agent	Chromatin agent
sig-21128	K27182532	PRISM	NA	44155856	METATINIB	SSc	Other	Protein fusion inhibitor	BCR-ABL inhibitor
sig-21240	K59456551	CTRP	DB00563	126941	METHOTREXATE	SSc	Other	DNA replication inhibitor	DNA related agent
sig-21403	K94441233	PRISM	DB06693	64715	MEVASTATIN	SSc	Other	HMGCR inhibitor	Statins
sig-20945	1862	GDSC	NA	462382	MG-132	SSc	Other	Ubiquitin-proteasome system inhibitor	Ubiquitin-proteasome system inhibitor
sig-21222	K56277358	CTRP	NA	24901704	MGCD-265	SSc	VEGFR inhibitor	Multi-kinase inhibitor	VEGFR inhibitor
sig-20999	A48237631	PRISM	DB00305	5746	MITOMYCIN	SSc	DNA related agent	DNA replication inhibitor	DNA related agent
sig-21242	K59670716	CTRP	DB00305	5746	MITOMYCIN	SSc	DNA related agent	DNA replication inhibitor	DNA related agent
sig-20938	1810	GDSC	DB01204	4212	MITOXANTRONE	SSc	DNA related agent	DNA replication inhibitor	DNA related agent
sig-21107	K21680192	PRISM	DB01204	4212	MITOXANTRONE	SSc	topoisomerase inhibitor	DNA replication inhibitor	DNA related agent
sig-20900	1179	GDSC	DB11740	24856436	MK-1775	SSc	CDK inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21212	K54256913	CTRP	DB11740	24856436	MK-1775	SSc	Other	Cell cycle arrest	Cell cycle arrest
sig-20891	1053	GDSC	NA	24964624	MK-2206	SSc	AKT inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21289	K68065987	CTRP	NA	24964624	MK-2206	SSc	AKT inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-20987	A36275421	CTRP	NA	3689413	ML162	SSc	Other	Ferroptosis inducer	Ferroptosis inducer
sig-21027	K01877528	CTRP	NA	49766530	ML210	SSc	Other	Ferroptosis inducer	Ferroptosis inducer
sig-20993	A40802033	CTRP	NA	3384730	ML311	SSc	Other	Pro-apoptotic agent	Pro-apoptotic agent
sig-21348	K81491172	CTRP	NA	135984461	ML320	SSc	Other	GSK3 inhibitor	Kinase inhibitor
sig-21361	K83963101	PRISM	DB13061	11712649	MLN-8054	SSc	Aurora kinases inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21235	K59317601	PRISM	NA	45375953	MLN0128	SSc	NA	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21338	K78659596	CTRP	NA	25183872	MLN2238	SSc	Other	Ubiquitin-proteasome system inhibitor	Ubiquitin-proteasome system inhibitor
sig-21087	K16485616	PRISM	DB11830	9865515	MOCETINOSTAT	SSc	HDAC inhibitor	Chromatin agent	Chromatin agent
sig-21376	K87737963	CTRP	DB11763	25062766	MOMELOTINIB	SSc	Other	JAK-STAT signaling inhibitor	JAK-STAT signaling inhibitor
sig-20968	A06627858	PRISM	DB11430	134689114	MONENSIN	SSc	Other	Antimicrobial agent	Other
sig-21184	K45551181	PRISM	NA	46909588	MPI-0479605	SSc	Other	Cell cycle arrest	Cell cycle arrest
sig-21160	K37618799	PRISM	NA	393595	MRS-1220	SSc	Other	Synapse modulation	Other
sig-21097	K19061412	PRISM	DB12682	6444692	MUBRITINIB	SSc	Other	ErbB inhibitor	EGFR inhibitor
sig-21015	A76279427	CTRP	NA	73707382	MYRIOCIN	SSc	Other	Lipid metabolism inhibitor	Metabolism disruptor
sig-21167	K38264551	CTRP	NA	71760897	NAKITERPIOSIN	SSc	Microtubule agents	Microtubule agent	Microtubule agent
sig-21283	K67511046	PRISM	DB01183	5284596	NALOXONE	SSc	Other	Synapse modulation	Other
sig-21046	K06792661	CTRP	NA	72376	NARCICLASINE	SSc	Other	Rho/Rho kinase/LIM kinase/cofilin signaling modulator	Other
sig-20883	1011	GDSC	DB12340	24978538	NAVITOCLAX	SSc	Apoptosis regulation	Pro-apoptotic agent	Pro-apoptotic agent
sig-21356	K82746043	CTRP	DB12340	24978538	NAVITOCLAX	SSc	Other	Pro-apoptotic agent	Pro-apoptotic agent
sig-21436	M41956198	CTRP	NA	NA	NAVITOCLAX:BIRINAPANT (1:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21451	M68535767	CTRP	NA	NA	NAVITOCLAX:GEMCITABINE (1:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21452	M71072276	CTRP	NA	NA	NAVITOCLAX:MST-312 (1:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21437	M43334969	CTRP	NA	NA	NAVITOCLAX:PIPERLONGUMINE (1:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21421	M07227555	CTRP	NA	NA	NAVITOCLAX:PLURIPOTIN (1:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21442	M55709992	CTRP	NA	NA	NAVITOCLAX:PLX-4032 (1:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21420	M03799014	CTRP	NA	NA	NAVITOCLAX:SORAFENIB (1:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21268	K64117221	CTRP	NA	1566236	NECROSULFONAMIDE	SSc	Other	Necrosis blocker	Other
sig-21204	K51911221	PRISM	NA	65907	NEMORUBICIN	SSc	topoisomerase inhibitor	Topoisomerase inhibitor	DNA related agent
sig-21255	K62479592	CTRP	NA	23661650	NEOPELTOLIDE	SSc	Other	Cellular respiration inhibitor	Metabolism disruptor
sig-21367	K85606544	CTRP	DB11828	9915743	NERATINIB	SSc	EGFR inhibitor	ErbB inhibitor	EGFR inhibitor
sig-21211	K53903639	CTRP	NA	19582717	NEURONAL DIFFERENTIATION INDUCER III	SSc	NA	Neuronal differentiation inducer	Other
sig-21157	K35960502	CTRP	DB06803	4477	NICLOSAMIDE	SSc	Other	JAK-STAT signaling inhibitor	JAK-STAT signaling inhibitor
sig-20885	1013	GDSC	DB04868	644241	NILOTINIB	SSc	Other	Multi-kinase inhibitor	BCR-ABL inhibitor
sig-21349	K81528515	CTRP	DB04868	644241	NILOTINIB	SSc	Other	Multi-kinase inhibitor	BCR-ABL inhibitor
sig-21192	K49075727	CTRP	DB09079	9809715	NINTEDANIB	SSc	VEGFR inhibitor	Multi-kinase inhibitor	VEGFR inhibitor
sig-21413	K99170882	PRISM	NA	5351307	NSC-319726	SSc	Other	p53 activator/MDM2 inhibitor	p53 activator/MDM2 inhibitor
sig-21016	A80213327	CTRP	NA	409805	NSC23766	SSc	Other	RAC1 inhibitor	Other
sig-20972	A12230535	CTRP	NA	216345	NUTLIN-3	SSc	MDM inhibitor	p53 activator/MDM2 inhibitor	p53 activator/MDM2 inhibitor
sig-20973	A12571627	CTRP	NA	90570	NVP-231	SSc	Other	Lipid metabolism inhibitor	Metabolism disruptor
sig-21082	K15179513	CTRP	NA	NA	NVP-ADW742	SSc	Other	IGF1R signaling inhibitor	IGF1R signaling inhibitor
sig-21173	K41859756	PRISM	NA	135539077	NVP-AUY922	SSc	NA	HSP inhibitor	HSP inhibitor
sig-21067	K12184916	CTRP	NA	11977753	NVP-BEZ235	SSc	mTOR/PI3K inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21068	K12184916	PRISM	NA	11977753	NVP-BEZ235	SSc	mTOR/PI3K inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21106	K21025364	PRISM	NA	9934347	NVP-TAE226	SSc	Other	PTK inhibitor	Kinase inhibitor
sig-21197	K50140147	CTRP	NA	16038120	NVP-TAE684	SSc	Other	ALK inhibitor	Kinase inhibitor
sig-21085	K15600710	CTRP	DB12191	11404337	OBATOCLAX	SSc	Other	Pro-apoptotic agent	Pro-apoptotic agent
sig-20895	1068	GDSC	NA	11404337	OBATOCLAX MESYLATE	SSc	NA	Pro-apoptotic agent	Pro-apoptotic agent
sig-21028	K02113016	CTRP	DB09074	23725625	OLAPARIB	SSc	Other	PARP inhibitor	PARP inhibitor
sig-21017	A81541225	CTRP	NA	NA	OLIGOMYCIN A	SSc	NA	ATP synthase inhibitor	ATP related agent
sig-21327	K76674262	CTRP	DB04865	285033	OMACETAXINE MEPESUCCINATE	SSc	NA	Protein synthesis inhibitor	Protein synthesis inhibitor
sig-21328	K76674262	PRISM	DB04865	285033	OMACETAXINE MEPESUCCINATE	SSc	NA	Protein synthesis inhibitor	Protein synthesis inhibitor
sig-21179	K43449605	PRISM	NA	872445	ONCRASIN-1	SSc	Other	Pro-apoptotic agent	Pro-apoptotic agent
sig-20988	A36331462	PRISM	DB11991	25067547	OPROZOMIB	SSc	proteasome inhibitor	Ubiquitin-proteasome system inhibitor	Ubiquitin-proteasome system inhibitor
sig-21374	K87124298	CTRP	DB12387	72698550	OSI-027	SSc	mTOR/PI3K inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21319	K73309154	PRISM	NA	10317566	OSI-420	SSc	EGFR inhibitor	ErbB inhibitor	EGFR inhibitor
