IDs	original.IDs	studies	DB.IDs	PubChem.CIDs	preferred.drug.names	collections	Santi.MoAs	main.MoAs	collapsed.MoAs
sig-21174	K42805893	PRISM	DB09330	71496458	OSIMERTINIB	SSc	NA	ErbB inhibitor	EGFR inhibitor
sig-21210	K53417444	PRISM	NA	NA	OTS167	SSc	Other	MELK inhibitor	Kinase inhibitor
sig-20920	1626	GDSC	NA	9936746	OTX015	SSc	Chromatin agents	Chromatin agent	Chromatin agent
sig-21180	K43471985	PRISM	NA	9936746	OTX015	SSc	Chromatin agents	Chromatin agent	Chromatin agent
sig-21145	K33277808	PRISM	NA	439501	OUABAIN	SSc	ATPase inhibitor	ATPase inhibitor	ATP related agent
sig-21156	K35708212	CTRP	NA	439501	OUABAIN	SSc	Other	ATPase inhibitor	ATP related agent
sig-21426	M14820059	CTRP	DB00526	9887053	OXALIPLATIN	SSc	DNA related agent	DNA replication inhibitor	DNA related agent
sig-21340	K78960041	PRISM	DB00526	9887053	OXALIPLATIN	SSc	NA	DNA replication inhibitor	DNA related agent
sig-20980	A28746609	CTRP	DB01229	36314	PACLITAXEL	SSc	Microtubule agents	Microtubule agent	Microtubule agent
sig-21250	K62008436	PRISM	DB01229	36314	PACLITAXEL	SSc	Microtubule agents	Microtubule agent	Microtubule agent
sig-20980	A28746609	CTRP	DB01229	36314	PACLITAXEL	SSc	Microtubule agents	Pro-apoptotic agent	Microtubule agent
sig-21250	K62008436	PRISM	DB01229	36314	PACLITAXEL	SSc	Microtubule agents	Pro-apoptotic agent	Microtubule agent
sig-20928	1730	GDSC	NA	NA	PAK_5339	SSc	Other	PAK inhibitor	Kinase inhibitor
sig-21030	K02130563	PRISM	DB06603	6918837	PANOBINOSTAT	SSc	NA	Chromatin agent	Chromatin agent
sig-21032	K02407574	CTRP	NA	26596	PARBENDAZOLE	SSc	Microtubule agents	Microtubule agent	Microtubule agent
sig-21350	K81651477	CTRP	DB13063	6473881	PARTHENOLIDE	SSc	Other	NFkB signaling inhibitor	NFkB signaling inhibitor
sig-21321	K74514084	PRISM	DB06589	10113978	PAZOPANIB	SSc	NA	Multi-kinase inhibitor	VEGFR inhibitor
sig-21320	K74514084	CTRP	DB06589	10113978	PAZOPANIB	SSc	VEGFR inhibitor	Multi-kinase inhibitor	VEGFR inhibitor
sig-21196	K49865102	PRISM	DB07101	9826528	PD-0325901	SSc	MEK inhibitor	MAPK inhibitor	MAPK inhibitor
sig-21092	K17702546	PRISM	NA	4708	PD-168393	SSc	EGFR inhibitor	ErbB inhibitor	EGFR inhibitor
sig-21005	A57798112	PRISM	NA	10231331	PD-318088	SSc	MEK inhibitor	MAPK inhibitor	MAPK inhibitor
sig-21004	A57798112	CTRP	NA	10231331	PD318088	SSc	MEK inhibitor	MAPK inhibitor	MAPK inhibitor
sig-21056	K08799216	PRISM	DB05524	6445562	PELITINIB	SSc	NA	ErbB inhibitor	EGFR inhibitor
sig-21013	A72716251	PRISM	DB13756	73438925	PERUVOSIDE	SSc	Other	Cardenolide	Other
sig-20912	1529	GDSC	DB11759	16720766	PEVONEDISTAT	SSc	Other	NAE inhibitor	Other
sig-21287	K67844266	CTRP	DB11759	16720766	PEVONEDISTAT	SSc	Other	NAE inhibitor	Other
sig-21163	K37764012	PRISM	DB11775	25227462	PF-03758309	SSc	Other	PAK inhibitor	Kinase inhibitor
sig-21064	K11593101	CTRP	NA	57519531	PF-184	SSc	Other	NFkB signaling inhibitor	NFkB signaling inhibitor
sig-21162	K37764012	CTRP	NA	25227462	PF-3758309	SSc	Other	PAK inhibitor	Kinase inhibitor
sig-21035	K03063480	PRISM	DB12611	16750408	PF-477736	SSc	CHK inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21272	K64800655	CTRP	DB12686	46191454	PHA-793887	SSc	CDK inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21273	K64800655	PRISM	DB12686	46191454	PHA-793887	SSc	CDK inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21244	K60997853	PRISM	NA	16718576	PHA-848125	SSc	NA	Cell cycle arrest	Cell cycle arrest
sig-21062	K10843433	PRISM	DB00812	4781	PHENYLBUTAZONE	SSc	Other	Anti-inflammatory agent	Other
sig-21288	K67868012	CTRP	NA	9884685	PI-103	SSc	DNA related agent	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-20893	1058	GDSC	DB11663	17755052	PICTILISIB	SSc	mTOR/PI3K inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21135	K29395450	CTRP	NA	6852167	PIK-93	SSc	mTOR/PI3K inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21325	K75958547	PRISM	DB08860	5282452	PITAVASTATIN	SSc	Other	HMGCR inhibitor	Statins
sig-20979	A28467416	PRISM	DB13109	76958312	PKI-179	SSc	mTOR/PI3K inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21359	K83336168	CTRP	NA	73707398	PL-DI	SSc	Other	ROS/RNS modulator	ROS/RNS modulator
sig-21415	K99498722	PRISM	DB05992	9949641	PLINABULIN	SSc	Microtubule agents	Microtubule agent	Microtubule agent
sig-21409	K98538768	CTRP	NA	12003241	PLURIPOTIN	SSc	Other	MAPK inhibitor	MAPK inhibitor
sig-21191	K47869605	PRISM	DB01179	10607	PODOPHYLLOTOXIN	SSc	Microtubule agents	Microtubule agent	Microtubule agent
sig-20942	1825	GDSC	NA	234820	PODOPHYLLOTOXIN BROMIDE	SSc	NA		Other
sig-21352	K81801188	PRISM	DB08052	24905142	PP-121	SSc	Other	Multi-kinase inhibitor	Kinase inhibitor
sig-20994	A41304429	PRISM	DB01297	4883	PRACTOLOL	SSc	Other	Adrenergic receptor antagonist	Other
sig-21014	A74914197	PRISM	DB06813	148121	PRALATREXATE	SSc	NA	DNA replication inhibitor	DNA related agent
sig-21084	K15318909	CTRP	NA	322968	PRIMA-1	SSc	Other	p53 activator/MDM2 inhibitor	p53 activator/MDM2 inhibitor
sig-20970	A10070317	PRISM	DB00571	4946	PROPRANOLOL	SSc	NA	Adrenergic receptor antagonist	Other
sig-20971	A11815689	PRISM	NA	124079498	PROSCILLARIDIN-A	SSc	Other	DNA replication inhibitor	DNA related agent
sig-21401	K93918653	CTRP	DB12874	24889392	QUIZARTINIB	SSc	VEGFR inhibitor	FLT3 inhibitor	VEGFR inhibitor
sig-21079	K14870255	CTRP	NA	46215462	R428	SSc	Other	AXL inhibitor	Kinase inhibitor
sig-21363	K84683831	PRISM	DB12339	11224409	RADEZOLID	SSc	Other	Antimicrobial agent	Other
sig-21398	K93123848	CTRP	DB05984	11656518	RAF265	SSc	BRAF inhibitor	Multi-kinase inhibitor	BRAF inhibitor;VEGFR inhibitor
sig-21399	K93123848	PRISM	DB05984	11656518	RAF265	SSc	BRAF inhibitor	Multi-kinase inhibitor	BRAF inhibitor;VEGFR inhibitor
sig-21384	K89839824	PRISM	DB00293	135400182	RALTITREXED	SSc	Other	DNA replication inhibitor	DNA related agent
sig-21368	K85751432	PRISM	DB06309	44182295	REFAMETINIB	SSc	MEK inhibitor	MAPK inhibitor	MAPK inhibitor
sig-21088	K16730910	CTRP	DB08896	11167602	REGORAFENIB	SSc	BRAF inhibitor	Multi-kinase inhibitor	BRAF inhibitor;VEGFR inhibitor
sig-21219	K55187425	PRISM	DB12146	6918736	RIGOSERTIB	SSc	NA	Cell cycle arrest	Cell cycle arrest;PI3K/AKT/mTOR signaling inhibitor
sig-21218	K55187425	CTRP	DB12146	6918736	RIGOSERTIB	SSc	Other	Cell cycle arrest	Cell cycle arrest;PI3K/AKT/mTOR signaling inhibitor
sig-21219	K55187425	PRISM	DB12146	6918736	RIGOSERTIB	SSc	NA	PI3K/AKT/mTOR signaling inhibitor	Cell cycle arrest;PI3K/AKT/mTOR signaling inhibitor
sig-21218	K55187425	CTRP	DB12146	6918736	RIGOSERTIB	SSc	Other	PI3K/AKT/mTOR signaling inhibitor	Cell cycle arrest;PI3K/AKT/mTOR signaling inhibitor
sig-21022	K00317371	CTRP	NA	374536	RITA	SSc	MDM inhibitor	p53 activator/MDM2 inhibitor	p53 activator/MDM2 inhibitor
sig-21023	K00317371	PRISM	NA	374536	RITA	SSc	MDM inhibitor	p53 activator/MDM2 inhibitor	p53 activator/MDM2 inhibitor
sig-21269	K64538373	PRISM	DB12933	11548630	RO-4987655	SSc	MEK inhibitor	MAPK inhibitor	MAPK inhibitor
sig-21248	K61397605	PRISM	DB06176	5352062	ROMIDEPSIN	SSc	HDAC inhibitor	Chromatin agent	Chromatin agent
sig-20944	1849	GDSC	NA	46236925	SABUTOCLAX	SSc	Apoptosis regulation	Pro-apoptotic agent	Pro-apoptotic agent
sig-21009	A67788537	CTRP	NA	135659046	SALERMIDE	SSc	Other	Sirtuin inhibitor	Metabolism disruptor
sig-21008	A64064900	PRISM	NA	16760643	SANGIVAMYCIN	SSc	DNA related agent	DNA replication inhibitor	DNA related agent
sig-20913	1549	GDSC	DB12183	11488320	SAPITINIB	SSc	EGFR inhibitor	ErbB inhibitor	EGFR inhibitor
sig-21098	K19540840	CTRP	DB11805	10302451	SARACATINIB	SSc	SRC inhibitor	Multi-kinase inhibitor	SRC inhibitor
sig-21247	K61323504	CTRP	NA	3854666	SB-225002	SSc	Other	G protein-coupled receptor inhibitor	Other
sig-21253	K62358710	CTRP	DB05546	9936388	SB-743921	SSc	Other	Cell cycle arrest	Cell cycle arrest
sig-21292	K68532323	PRISM	DB05546	9936388	SB-743921	SSc	Other	Cell cycle arrest	Cell cycle arrest
sig-21372	K86797399	PRISM	NA	49855250	SB-939	SSc	HDAC inhibitor	Chromatin agent	Chromatin agent
sig-20903	1194	GDSC	NA	9858940	SB505124	SSc	Other	TGFbeta receptor inhibitor	Kinase inhibitor
sig-21089	K17140735	CTRP	NA	4259181	SCH-79797	SSc	Other	Thrombotic response modulation	Other
sig-21322	K75009076	PRISM	NA	46239015	SCH-900776	SSc	NA	Cell cycle arrest	Cell cycle arrest
sig-20917	1564	GDSC	NA	24866313	SCH772984	SSc	ERK MAPK signaling	MAPK inhibitor	MAPK inhibitor
sig-20931	1736	GDSC	DB11689	10127622	SELUMETINIB	SSc	ERK MAPK signaling	MAPK inhibitor	MAPK inhibitor
sig-21225	K57080016	CTRP	DB11689	10127622	SELUMETINIB	SSc	MEK inhibitor	MAPK inhibitor	MAPK inhibitor
sig-21226	K57080016	PRISM	DB11689	10127622	SELUMETINIB	SSc	NA	MAPK inhibitor	MAPK inhibitor
sig-21449	M65857522	CTRP	NA	NA	SELUMETINIB:BRD-A02303741 (4:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21440	M45217710	CTRP	NA	NA	SELUMETINIB:DECITABINE (4:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21429	M25329837	CTRP	NA	NA	SELUMETINIB:GDC-0941 (4:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21441	M46138460	CTRP	NA	NA	SELUMETINIB:JQ-1 (4:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21432	M34300043	CTRP	NA	NA	SELUMETINIB:MK-2206 (8:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21434	M39644375	CTRP	NA	NA	SELUMETINIB:NAVITOCLAX (8:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21457	M89326994	CTRP	NA	NA	SELUMETINIB:PIPERLONGUMINE (8:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21445	M58862563	CTRP	NA	NA	SELUMETINIB:PLX-4032 (8:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21439	M45185124	CTRP	NA	NA	SELUMETINIB:TRETINOIN (2:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21433	M39460218	CTRP	NA	NA	SELUMETINIB:UNC0638 (4:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21462	M98616540	CTRP	NA	NA	SELUMETINIB:VORINOSTAT (8:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-20955	1941	GDSC	NA	11178236	SEPANTRONIUM BROMIDE	SSc	NA	Pro-apoptotic agent	Pro-apoptotic agent
sig-21243	K60219430	CTRP	DB12027	11609586	SERDEMETAN	SSc	MDM inhibitor	p53 activator/MDM2 inhibitor	p53 activator/MDM2 inhibitor
sig-21278	K65924316	PRISM	DB12027	11609586	SERDEMETAN	SSc	MDM inhibitor	p53 activator/MDM2 inhibitor	p53 activator/MDM2 inhibitor
sig-21345	K81458380	CTRP	DB15408	24748573	SILMITASERTIB	SSc	Other	Casein kinase II inhibitor	Kinase inhibitor
sig-21364	K84937637	CTRP	DB00877	5284616	SIROLIMUS	SSc	mTOR/PI3K inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21365	K84937637	PRISM	DB00877	5284616	SIROLIMUS	SSc	mTOR/PI3K inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21419	M02488208	CTRP	NA	NA	SIROLIMUS:BORTEZOMIB (250:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21105	K20755323	PRISM	NA	753704	SKI-II	SSc	NA	Lipid metabolism inhibitor	Metabolism disruptor
sig-21396	K92960067	CTRP	NA	568763	SMER-3	SSc	Other	Ubiquitin-proteasome system inhibitor	Ubiquitin-proteasome system inhibitor
sig-20989	A36630025	CTRP	NA	104842	SN-38	SSc	Other	DNA replication inhibitor	DNA related agent
sig-21382	K89561498	PRISM	NA	104842	SN-38	SSc	topoisomerase inhibitor	DNA replication inhibitor	DNA related agent
sig-21178	K43389698	CTRP	DB05969	3025986	SNS-032	SSc	CDK inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21314	K71512533	PRISM	NA	24995524	SNS-314	SSc	Aurora kinases inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21309	K71281111	CTRP	NA	NA	SNX-2112	SSc	HSP inhibitor	HSP inhibitor	HSP inhibitor
sig-21310	K71281111	PRISM	NA	NA	SNX-2112	SSc	HSP inhibitor	HSP inhibitor	HSP inhibitor
sig-21450	M68452404	CTRP	NA	NA	SNX-2112:BORTEZOMIB (250:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21115	K23984367	CTRP	DB00398	216239	SORAFENIB	SSc	BRAF inhibitor	Multi-kinase inhibitor	BRAF inhibitor;VEGFR inhibitor
sig-21366	K84964099	CTRP	NA	51037431	SPAUTIN-1	SSc	Other	USP inhibitor	Other
sig-21176	K43002771	PRISM	NA	9850876	SR-33805	SSc	Other	Ion channel blocker	Other
sig-21063	K11172604	CTRP	NA	49793307	SR-II-138A	SSc	Other	Transcription inhibitor	Transcription inhibitor
sig-20888	1034	GDSC	DB02010	44259	STAUROSPORINE	SSc	Other	Multi-kinase inhibitor	Kinase inhibitor
sig-21110	K22477529	CTRP	NA	984333	STF-31	SSc	inhibitor of nicotinamide phosphoribosyltransferase	NAMPT inhibitor	NAMPT inhibitor
sig-21034	K02965346	CTRP	NA	9549297	SU11274	SSc	Other	MET inhibitor	MET inhibitor
sig-21061	K10670311	PRISM	DB00795	5339	SULFASALAZINE	SSc	Other	Cyclooxygenase inhibitor	Other
sig-21175	K42828737	CTRP	DB01268	5329102	SUNITINIB	SSc	VEGFR inhibitor	Multi-kinase inhibitor	VEGFR inhibitor
sig-21205	K52313696	PRISM	DB12291	2746	TACEDINALINE	SSc	NA	Chromatin agent	Chromatin agent
sig-21126	K26667523	PRISM	DB12241	24963252	TAK-733	SSc	MEK inhibitor	MAPK inhibitor	MAPK inhibitor
sig-21025	K01683783	PRISM	DB12756	16124208	TAK-901	SSc	Aurora kinases inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21405	K95142244	PRISM	DB11760	135565082	TALAZOPARIB	SSc	NA	PARP inhibitor	PARP inhibitor
sig-20907	1259	GDSC	DB11760	135565082	TALAZOPARIB	SSc	Other	PARP inhibitor	PARP inhibitor
sig-21375	K87512222	PRISM	NA	6918637	TALTOBULIN	SSc	Microtubule agents	Microtubule agent	Microtubule agent
sig-21101	K20285085	CTRP	NA	11213558	TAMATINIB	SSc	Other	SYK inhibitor	Kinase inhibitor
sig-21380	K89162000	CTRP	DB05465	3038522	TANDUTINIB	SSc	VEGFR inhibitor	Multi-kinase inhibitor	VEGFR inhibitor
sig-21346	K81473043	CTRP	DB05134	6505803	TANESPIMYCIN	SSc	HSP inhibitor	HSP inhibitor	HSP inhibitor
sig-21347	K81473043	PRISM	DB05134	6505803	TANESPIMYCIN	SSc	HSP inhibitor	HSP inhibitor	HSP inhibitor
sig-21424	M09675615	CTRP	NA	11949685	TANESPIMYCIN:BORTEZOMIB (250:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21435	M41695494	CTRP	NA	NA	TANESPIMYCIN:GEMCITABINE (1:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21057	K09426783	PRISM	NA	135413533	TAS-103	SSc	topoisomerase inhibitor	DNA replication inhibitor	DNA related agent
sig-20916	1561	GDSC	DB12108	51001932	TASELISIB	SSc	mTOR/PI3K inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21181	K44844162	PRISM	DB12108	51001932	TASELISIB	SSc	mTOR/PI3K inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-20954	1930	GDSC	NA	10385095	TELOMERASE INHIBITOR IX	SSc	NA	Telomerase inhibitor	Other
sig-21054	K08177763	CTRP	DB06287	6918289	TEMSIROLIMUS	SSc	mTOR/PI3K inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-20937	1809	GDSC	DB00444	452548	TENIPOSIDE	SSc	DNA related agent	Topoisomerase inhibitor	DNA related agent
sig-20984	A35588707	CTRP	DB00444	452548	TENIPOSIDE	SSc	Other	Topoisomerase inhibitor	DNA related agent
sig-20985	A35588707	PRISM	DB00444	452548	TENIPOSIDE	SSc	topoisomerase inhibitor	Topoisomerase inhibitor	DNA related agent
sig-21383	K89714990	PRISM	DB11466	59757	TEPOXALIN	SSc	NA	Anti-inflammatory agent	Other
sig-20992	A39935389	PRISM	NA	17142	TEROXIRONE	SSc	DNA related agent	DNA replication inhibitor	DNA related agent
sig-21072	K12502280	CTRP	NA	16722836	TG-101348	SSc	Other	JAK-STAT signaling inhibitor	JAK-STAT signaling inhibitor
sig-21134	K29254801	PRISM	DB13245	5455	THIRAM	SSc	Other	Antifungal agent	Other
sig-21259	K62965247	PRISM	DB04960	159324	TIPIFARNIB	SSc	Other	Farnesyltransferase inhibitor	Other
sig-21261	K63195589	CTRP	NA	9935249	TIPIFARNIB-P1	SSc	Other	Farnesyltransferase inhibitor	Other
sig-21258	K62965247	CTRP	NA	159324	TIPIFARNIB-P2	SSc	Other	Farnesyltransferase inhibitor	Other
sig-21146	K33379087	CTRP	DB12200	11494412	TIVANTINIB	SSc	Microtubule agents	MET inhibitor	MET inhibitor
sig-21209	K53414658	CTRP	DB11800	9911830	TIVOZANIB	SSc	VEGFR inhibitor	Multi-kinase inhibitor	VEGFR inhibitor
sig-20936	1808	GDSC	DB01030	60700	TOPOTECAN	SSc	DNA related agent	DNA replication inhibitor	DNA related agent
sig-21221	K55696337	CTRP	DB01030	60700	TOPOTECAN	SSc	Other	DNA replication inhibitor	DNA related agent
sig-21391	K92241597	CTRP	DB11781	15547703	TOSEDOSTAT	SSc	Other	Aminopeptidase inhibitor	Metabolism disruptor
sig-21392	K92241597	PRISM	DB11781	15547703	TOSEDOSTAT	SSc	Other	Aminopeptidase inhibitor	Metabolism disruptor
sig-21238	K59369769	PRISM	NA	5494449	TOZASERTIB	SSc	Aurora kinases inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21203	K51575138	CTRP	NA	9903786	TPCA-1	SSc	Other	NFkB signaling inhibitor	NFkB signaling inhibitor
sig-20908	1372	GDSC	DB08911	11707110	TRAMETINIB	SSc	ERK MAPK signaling	MAPK inhibitor	MAPK inhibitor
sig-21070	K12343256	CTRP	DB08911	11707110	TRAMETINIB	SSc	MEK inhibitor	MAPK inhibitor	MAPK inhibitor
sig-21071	K12343256	PRISM	DB08911	11707110	TRAMETINIB	SSc	MEK inhibitor	MAPK inhibitor	MAPK inhibitor
sig-21271	K64634304	CTRP	DB00755	5538	TRETINOIN	SSc	Other	Retinoid acid receptor agonist	Other
sig-21431	M31706333	CTRP	NA	NA	TRETINOIN:CARBOPLATIN (2:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21453	M74379094	CTRP	NA	NA	TRETINOIN:NAVITOCLAX (4:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21043	K05402890	CTRP	NA	17757146	TRIAZOLOTHIADIAZINE	SSc	Other	Phosphodiesterase inhibitor	Metabolism disruptor
sig-21343	K80431395	PRISM	DB12405	65399	TRICIRIBINE	SSc	AKT inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21036	K03243820	PRISM	DB00432	6256	TRIFLURIDINE	SSc	DNA related agent	DNA replication inhibitor	DNA related agent
sig-20974	A13122391	CTRP	DB12025	107985	TRIPTOLIDE	SSc	Other	Transcription inhibitor	Transcription inhibitor
sig-21170	K39484304	PRISM	DB12025	107985	TRIPTOLIDE	SSc	Other	Transcription inhibitor	Transcription inhibitor
sig-21131	K28360340	CTRP	NA	11455910	TW-37	SSc	Other	Pro-apoptotic agent	Pro-apoptotic agent
sig-21241	K59574735	PRISM	DB03424	72172	UBENIMEX	SSc	NA	Leukotriene synthesis inhibitor	Metabolism disruptor
sig-20929	1733	GDSC	NA	NA	ULK1_4989	SSc	Other	ULK inhibitor	Kinase inhibitor
sig-21461	M97749165	CTRP	NA	NA	UNC0638:NAVITOCLAX (1:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-20914	1553	GDSC	DB11969	51042438	UPROSERTIB	SSc	AKT inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-20960	2106	GDSC	DB11969	51042438	UPROSERTIB	SSc	AKT inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21318	K72951360	PRISM	DB00385	454216	VALRUBICIN	SSc	DNA related agent	DNA replication inhibitor	DNA related agent
sig-21331	K77625799	CTRP	DB05294	3081361	VANDETANIB	SSc	VEGFR inhibitor	Multi-kinase inhibitor	EGFR inhibitor;VEGFR inhibitor
sig-20947	1909	GDSC	DB11581	49846579	VENETOCLAX	SSc	Apoptosis regulation	Pro-apoptotic agent	Pro-apoptotic agent
sig-20880	1004	GDSC	DB00570	13342	VINBLASTINE	SSc	Microtubule agents	Microtubule agent	Microtubule agent
sig-20940	1818	GDSC	DB00541	5978	VINCRISTINE	SSc	Microtubule agents	Microtubule agent	Microtubule agent
sig-21069	K12251893	PRISM	DB00541	5978	VINCRISTINE	SSc	Microtubule agents	Microtubule agent	Microtubule agent
sig-21353	K82109576	CTRP	DB00541	5978	VINCRISTINE	SSc	Other	Microtubule agent	Microtubule agent
sig-20958	2048	GDSC	DB00361	5311497	VINORELBINE	SSc	Microtubule agents	Microtubule agent	Microtubule agent
sig-21297	K69280563	PRISM	DB00361	5311497	VINORELBINE	SSc	Microtubule agents	Microtubule agent	Microtubule agent
sig-21299	K69776681	PRISM	DB12062	10461508	VOLASERTIB	SSc	NA	Cell cycle arrest	Cell cycle arrest
sig-20884	1012	GDSC	DB02546	5311	VORINOSTAT	SSc	Chromatin agents	Chromatin agent	Chromatin agent
sig-21344	K81418486	CTRP	DB02546	5311	VORINOSTAT	SSc	HDAC inhibitor	Chromatin agent	Chromatin agent
sig-21423	M09269305	CTRP	NA	NA	VORINOSTAT:CARBOPLATIN (1:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21428	M23798888	CTRP	NA	NA	VORINOSTAT:NAVITOCLAX (4:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-20930	1734	GDSC	NA	NA	VSP34_8731	SSc	Other		Other
sig-20959	2096	GDSC	NA	11634725	VX-11E	SSc	ERK MAPK signaling	MAPK inhibitor	MAPK inhibitor
sig-21237	K59369769	CTRP	NA	5494449	VX-680	SSc	Aurora kinases inhibitor	Cell cycle arrest	Cell cycle arrest
sig-20889	1046	GDSC	NA	10384072	WEE1 INHIBITOR	SSc	NA	Cell cycle arrest	Cell cycle arrest
sig-20956	1997	GDSC	NA	71297207	WEHI-539	SSc	Apoptosis regulation	Pro-apoptotic agent	Pro-apoptotic agent
sig-20997	A45498368	PRISM	NA	25260757	WYE-125132	SSc	mTOR/PI3K inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21351	K81728688	CTRP	NA	44607531	WZ8040	SSc	Other	ErbB inhibitor	EGFR inhibitor
sig-20965	A03506276	PRISM	DB12981	60147023	XL888	SSc	HSP inhibitor	HSP inhibitor	HSP inhibitor
sig-21007	A62182663	CTRP	NA	44632017	YK 4-279	SSc	NA	Transcription inhibitor	Transcription inhibitor
sig-20904	1239	GDSC	NA	44632017	YK-4-279	SSc	Other	Transcription inhibitor	Transcription inhibitor
sig-21329	K76703230	CTRP	NA	10126189	YM-155	SSc	Other	Pro-apoptotic agent	Pro-apoptotic agent
sig-21330	K76703230	PRISM	NA	10126189	YM-155	SSc	Other	Pro-apoptotic agent	Pro-apoptotic agent
sig-21260	K63068307	CTRP	DB12904	11647372	ZSTK474	SSc	mTOR/PI3K inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor